2,0,41.98721249581666,4,0
7,0,33.02386755579665,4,0
9,0,28.810793742973065,4,0
16,0,11.309932474020215,4,0
22,0,-5.710593137499643,3,0
29,0,-24.22774531795417,3,0
31,0,-28.810793742973065,3,0
32,0,-30.96375653207352,3,0
0,1,46.46880071438582,4,0
5,1,38.29016319224307,4,0
10,1,27.758540601060023,4,0
11,1,25.34617594194669,4,0
15,1,14.743562836470735,4,0
18,1,6.009005957494525,4,0
21,1,-3.01278750418334,3,0
22,1,-6.009005957494525,3,0
27,1,-20.224859431168078,3,0
29,1,-25.34617594194669,3,0
30,1,-27.758540601060023,3,0
33,1,-34.38034472384487,3,0
0,2,48.01278750418334,4,0
10,2,29.054604099077146,4,0
13,2,21.25050550713324,4,0
18,2,6.340191745909909,4,0
19,2,3.1798301198642345,4,0
25,2,-15.524110996754258,3,0
33,2,-35.83765295427829,3,0
11,3,27.89727103094763,4,0
12,3,25.20112364547507,4,0
15,3,16.389540334034784,4,0
16,3,13.240519915187205,4,0
19,3,3.366460663429801,4,0
22,3,-6.7098368077569335,3,0
23,3,-10.007979801441339,3,0
24,3,-13.240519915187205,3,0
25,3,-16.389540334034784,3,0
27,3,-22.380135051959574,3,0
3,4,46.73570458892839,4,0
7,4,39.0938588862295,4,0
8,4,36.86989764584402,4,0
13,4,23.629377730656817,4,0
14,4,20.556045219583467,4,0
22,4,-7.125016348901798,3,0
25,4,-17.35402463626132,3,0
30,4,-32.005383208083494,3,0
33,4,-39.0938588862295,3,0
2,5,50.19442890773481,4,0
3,5,48.57633437499735,4,0
9,5,36.25383773744479,4,0
12,5,28.072486935852957,4,0
22,5,-7.594643368591445,3,0
32,5,-38.659808254090095,3,0
33,5,-40.91438322002513,3,0
3,6,50.527540151656176,4,0
4,6,48.81407483429035,4,0
5,6,46.97493401088198,4,0
9,6,38.15722658736906,4,0
11,6,32.7352262721076,4,0
12,6,29.74488129694222,4,0
15,6,19.65382405805331,4,0
1,7,55.619655276155136,4,0
2,7,54.16234704572171,4,0
6,7,47.12109639666146,4,0
8,7,42.70938995736147,4,0
10,7,37.568592028827496,4,0
12,7,31.607502246248906,4,0
22,7,-8.74616226255521,3,0
26,7,-24.775140568831922,3,0
27,7,-28.300755766006375,3,0
30,7,-37.568592028827496,3,0
32,7,-42.70938995736147,3,0
3,8,54.78240703180729,4,0
7,8,47.29061004263853,4,0
13,8,30.256437163529263,4,0
18,8,9.462322208025617,4,0
19,8,4.763641690726177,4,0
21,8,-4.763641690726177,3,0
27,8,-30.256437163529263,3,0
31,8,-42.510447078000844,3,0
33,8,-47.29061004263853,3,0
2,9,58.57043438516149,4,0
3,9,57.094757077012105,4,0
12,9,36.02737338510361,4,0
14,9,28.610459665965216,4,0
18,9,10.304846468766033,4,0
21,9,-5.194428907734806,3,0
25,9,-24.443954780416536,3,0
26,9,-28.610459665965216,3,0
30,9,-42.27368900609374,3,0
2,10,60.94539590092286,4,0
